id_doc,titre,texte,langue,date_publication,source_nom,id_type_donnee,type_donnee,date_collecte,format,humeur_label,humeur_score,valence,emotion,territoire_code_insee,territoire_commune,territoire_departement,territoire_region,annotation_status,annotation_date,annotator_id,annotation_keywords_yake,annotation_entities_spacy,annotation_polarity,annotation_intensity,annotation_summary
4,"Météo Lille,FR","Température: 5.18°C, légère pluie",fr,2025-11-18 23:27:33.998374,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.02570861714399338"", ""0.04491197687864554"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Température"", ""label"": ""PER"", ""start"": 0, ""end"": 11}, {""text"": ""C"", ""label"": ""MISC"", ""start"": 18, ""end"": 19}]",neutre,0.1,"Keywords: 0.02570861714399338, 0.04491197687864554, 0.15831692877998726, 0.15831692877998726 | Entities: Température (PER), C (MISC)"
3,"Météo Marseille,FR","Température: 6.86°C, ciel dégagé",fr,2025-11-18 23:27:33.301353,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.02570861714399338"", ""0.04491197687864554"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Température"", ""label"": ""LOC"", ""start"": 0, ""end"": 11}, {""text"": ""C"", ""label"": ""MISC"", ""start"": 18, ""end"": 19}]",neutre,0.1,"Keywords: 0.02570861714399338, 0.04491197687864554, 0.15831692877998726, 0.15831692877998726 | Entities: Température (LOC), C (MISC)"
2,"Météo Lyon,FR","Température: -2.65°C, ciel dégagé",fr,2025-11-18 23:27:32.571625,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.02570861714399338"", ""0.04491197687864554"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Température"", ""label"": ""PER"", ""start"": 0, ""end"": 11}]",neutre,0.1,"Keywords: 0.02570861714399338, 0.04491197687864554, 0.15831692877998726, 0.15831692877998726 | Entities: Température (PER)"
1,"Météo Paris,FR","Température: 6.27°C, couvert",fr,2025-11-18 23:27:31.822739,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.04491197687864554"", ""0.04491197687864554""]","[{""text"": ""Température"", ""label"": ""LOC"", ""start"": 0, ""end"": 11}, {""text"": ""C"", ""label"": ""LOC"", ""start"": 18, ""end"": 19}]",neutre,0.1,"Keywords: 0.04491197687864554, 0.04491197687864554 | Entities: Température (LOC), C (LOC)"
10,Le Liban fait état d'au moins 13 morts dans une frappe israélienne sur un camp de réfugiés palestiniens,"De son côté, l'armée israélienne a affirmé avoir frappé un camp d'entraînement du Hamas.",fr,2025-11-18 22:06:24.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.026233073037508336"", ""0.04940384002065631"", ""0.08596317751626563"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.15831692877998726"", ""0.15831692877998726"", ""0.29736558256021506""]","[{""text"": ""Hamas"", ""label"": ""ORG"", ""start"": 82, ""end"": 87}]",neutre,0.1,"Keywords: 0.026233073037508336, 0.04940384002065631, 0.08596317751626563, 0.09700399286574239, 0.09700399286574239 | Entities: Hamas (ORG)"
13,Municipales 2026 : Les Républicains apportent leur soutien à Louis Sarkozy à Menton,"Chroniqueur pour LCI, RMC et le magazine conservateur Valeurs actuelles, le fils de l'ancien président de la République s'était déclaré candidat dans la ville portuaire à la frontière italienne en septembre.",fr,2025-11-18 22:02:16.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0006052376660884209"", ""0.0009123104856698896"", ""0.0009123104856698896"", ""0.0016012214736657916"", ""0.0036984844327355177"", ""0.005157590407455398"", ""0.007743432063478832"", ""0.007743432063478832"", ""0.00899321792126428"", ""0.013527995261974615""]","[{""text"": ""LCI"", ""label"": ""ORG"", ""start"": 17, ""end"": 20}, {""text"": ""RMC"", ""label"": ""ORG"", ""start"": 22, ""end"": 25}, {""text"": ""Valeurs actuelles"", ""label"": ""ORG"", ""start"": 54, ""end"": 71}, {""text"": ""président de la République"", ""label"": ""PER"", ""start"": 93, ""end"": 119}]",neutre,0.1,"Keywords: 0.0006052376660884209, 0.0009123104856698896, 0.0009123104856698896, 0.0016012214736657916, 0.0036984844327355177 | Entities: LCI (ORG), RMC (ORG), Valeurs actuelles (ORG), président de la République (PER)"
12,Les députés américains votent pour la publication des documents de l'affaire Epstein après une volte-face de Donald Trump,"Après avoir mené pendant des mois une campagne pour contrecarrer la tenue de ce vote à la Chambre, le président américain avait finalement apporté son soutien au texte dimanche.",fr,2025-11-18 21:49:19.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.015380821171891606"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.057012387690331526"", ""0.09568045026443411""]","[{""text"": ""Chambre"", ""label"": ""ORG"", ""start"": 90, ""end"": 97}]",neutre,0.1,"Keywords: 0.015380821171891606, 0.02570861714399338, 0.02570861714399338, 0.02570861714399338, 0.02570861714399338 | Entities: Chambre (ORG)"
81,Le rappeur Zola a été placé en garde à vue pour séquestration et violences aggravées,"L’artiste est accusé avec trois autres personnes d’avoir séquestré, violenté et humilié un jeune admirateur qui aurait voulu le photographier à son domicile dans la commune du Pin, en Seine-et-Marne, le 6 novembre.",fr,2025-11-18 21:42:03.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.009108237309423345"", ""0.015380821171891606"", ""0.015380821171891606"", ""0.015380821171891606"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.04491197687864554""]","[{""text"": ""Pin"", ""label"": ""LOC"", ""start"": 176, ""end"": 179}, {""text"": ""Seine-et-Marne"", ""label"": ""LOC"", ""start"": 184, ""end"": 198}]",neutre,0.1,"Keywords: 0.009108237309423345, 0.015380821171891606, 0.015380821171891606, 0.015380821171891606, 0.02570861714399338 | Entities: Pin (LOC), Seine-et-Marne (LOC)"
11,"La taxe foncière va augmenter pour 7,4 millions de logements en 2026, conséquence d'une mise à jour de données","Cette réévaluation vise à mieux prendre en compte certains critères dits ""de confort"", tels que la présence d'eau courante, d'électricité, de WC ou de lavabos dans le logement.",fr,2025-11-18 21:18:06.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0010606143890052174"", ""0.00899321792126428"", ""0.00899321792126428"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.04491197687864554""]","[{""text"": ""WC"", ""label"": ""LOC"", ""start"": 142, ""end"": 144}]",neutre,0.1,"Keywords: 0.0010606143890052174, 0.00899321792126428, 0.00899321792126428, 0.013527995261974615, 0.013527995261974615 | Entities: WC (LOC)"
41,Etats-Unis : Comment Marjorie Greene est passée de groupie à nouvelle ennemie de Trump ?,"La rupture entre Trump et Marjorie Taylor Greene révèle une fracture inédite au sein du mouvement MAGA, sur fond d’affaire Epstein, de tensions économiques et de luttes d’influence",fr,2025-11-18 21:11:48.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0006487982591412822"", ""0.0012089197967110022"", ""0.001488913964133022"", ""0.007444681613352736"", ""0.007444681613352736"", ""0.007444681613352736"", ""0.009108237309423345"", ""0.009108237309423345"", ""0.013797198203993007"", ""0.013797198203993007""]","[{""text"": ""Trump"", ""label"": ""PER"", ""start"": 17, ""end"": 22}, {""text"": ""Marjorie Taylor Greene"", ""label"": ""PER"", ""start"": 26, ""end"": 48}, {""text"": ""MAGA"", ""label"": ""ORG"", ""start"": 98, ""end"": 102}, {""text"": ""Epstein"", ""label"": ""PER"", ""start"": 123, ""end"": 130}]",negative,0.036,"Keywords: 0.0006487982591412822, 0.0012089197967110022, 0.001488913964133022, 0.007444681613352736, 0.007444681613352736 | Entities: Trump (PER), Marjorie Taylor Greene (PER), MAGA (ORG), Epstein (PER)"
